name,resource_type,description,learning objective 1,learning objective 2,learning objective 3,is_deprecated,hide_info,text,resource_file,grade_level,intended_use,license,license_link,license_other_notes,source,language,author,comments,creation_date,problem_type,solutions_hints_etc,collection,Custom
CheckPoint 1: Newton's First Law,CheckPoint problem,Identify which motion diagram  represents an object that doesn't experience any interactions,N2Lequil,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493396.sequence___8___MIT/RELATE/htmlwiki/Unit1/Module1/CP_Newtons_1st.problem____0
Checkpoint 2: Newton's First Law,CheckPoint problem,,,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493396.sequence___10___MIT/rayyan/check_points/BK/BK6.problem____0
Checkpoint 1: Drawing Freebody Diagrams,CheckPoint problem,Choose the right FBD- object at rest,N2Lfbdconsistent,FNLfbd,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493411.sequence___6___MIT/rayyan/osu/05_Force and Motion I/forces/forces.problem____0
Checkpoint 2: Drawing Freebody Diagrams,CheckPoint problem,"Choose the right FBD-object moving with constant v, no friction",N2Lfbdconsistent,FNLfbd,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493411.sequence___7___MIT/rayyan/osu/05_Force and Motion I/forces/forces_1.problem____0
Checkpoint 3: Drawing Freebody Diagrams,CheckPoint problem,Choose the right FBD-object moving with constant v with friction,N2Lfbdconsistent,FNLfbd,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493411.sequence___8___MIT/rayyan/osu/05_Force and Motion I/forces/forces_2.problem____0
CheckPoint 4: Newton's Second Law,CheckPoint problem,Compare accelerations of four blocks knowing the net forces and the masses,N2Lapply,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493411.sequence___10___MIT/rayyan/check_points/BK/BK11.problem____0
CheckPoint 5: Newton's Second Law,CheckPoint problem, Choose the graph that shows a(t) for an object acted upon by a horizontal force on a frictionless horizontal surface,N2Lapply,K1graph,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493411.sequence___11___MIT/rayyan/check_points/BK/BK13.problem____0
CheckPoint 6: Newton's Second Law,CheckPoint problem,,,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493411.sequence___12___MIT/rayyan/check_points/BK/BK22.problem____0
CheckPoint 1: Free-Body Diagram,CheckPoint problem,Evaluate statements about the FBD definition,FNLfbd,,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493423.sequence___15___gwu/rteodore/Raluca_s_Test_Course/Phys1_Spring2007/Warmups/Warmup2b/Free-Body Diagram.problem____0
Checkpoint 2: Free-Body Diagram,CheckPoint problem,Choose the correct FBD for one block from a two-blocks system,N2Lfbdconsistent,FNLfbd,,,,,,,,,,,,,,,,CheckPoint problem,,Unit 1,uploaded/MIT/31322809404324fcfMITl1/default_1322493423.sequence___14___MIT/RELATE/htmlwiki/Unit1/Module3/CP_FBDs.problem____0
